,y_name,orf_name
6170,YPL012W,RRP12
6171,YPL013C,MRPS16
6172,YPL014W,YPL014W
6173,YPL015C,HST2
6174,YPL016W,SWI1
6175,YPL017C,IRC15
6176,YPL018W,CTF19
6177,YPL019C,VTC3
6178,YPL020C,ULP1
6179,YPL021W,ECM23
6180,YPL022W,RAD1
6181,YPL023C,MET12
6182,YPL024W,RMI1
6183,YPL025C,YPL025C
6184,YPL026C,SKS1
6185,YPL027W,SMA1
6186,YPL028W,ERG10
6187,YPL029W,SUV3
6188,YPL030W,TRM44
6189,YPL031C,PHO85
6190,YPL032C,SVL3
6191,YPL033C,SRL4
6192,YPL034W,YPL034W
6193,YPL035C,YPL035C
6194,YPL036W,PMA2
6195,YPL037C,EGD1
6196,YPL038W,MET31
6197,YPL038W-A,YPL038W-A
6198,YPL039W,YPL039W
6199,YPL040C,ISM1
6200,YPL041C,YPL041C
6201,YPL042C,SSN3
6202,YPL043W,NOP4
6203,YPL044C,YPL044C
6204,YPL045W,VPS16
6205,YPL046C,ELC1
6206,YPL047W,SGF11
6207,YPL048W,CAM1
6208,YPL049C,DIG1
6209,YPL050C,MNN9
6210,YPL051W,ARL3
6211,YPL052W,OAZ1
6212,YPL053C,KTR6
6213,YPL054W,LEE1
6214,YPL055C,LGE1
6215,YPL056C,LCL1
6216,YPL057C,SUR1
6217,YPL058C,PDR12
6218,YPL059W,GRX5
6219,YPL060C-A,YPL060C-A
6220,YPL060W,MFM1
6221,YPL061W,ALD6
6222,YPL062W,YPL062W
6223,YPL063W,TIM50
6224,YPL064C,CWC27
6225,YPL065W,VPS28
6226,YPL066W,RGL1
6227,YPL067C,YPL067C
6228,YPL068C,YPL068C
6229,YPL069C,BTS1
6230,YPL070W,MUK1
6231,YPL071C,YPL071C
6232,YPL072W,UBP16
6233,YPL073C,YPL073C
6234,YPL074W,YTA6
6235,YPL075W,GCR1
6236,YPL076W,GPI2
6237,YPL077C,YPL077C
6238,YPL078C,ATP4
6239,YPL079W,RPL21B
6240,YPL080C,YPL080C
6241,YPL081W,RPS9A
6242,YPL082C,MOT1
6243,YPL083C,SEN54
6244,YPL084W,BRO1
6245,YPL085W,SEC16
6246,YPL086C,ELP3
6247,YPL087W,YDC1
6248,YPL088W,YPL088W
6249,YPL089C,RLM1
6250,YPL090C,RPS6A
6251,YPL091W,GLR1
6252,YPL092W,SSU1
6253,YPL093W,NOG1
6254,YPL094C,SEC62
6255,YPL095C,EEB1
6256,YPL096C-A,ERI1
6257,YPL096W,PNG1
6258,YPL097W,MSY1
6259,YPL098C,MGR2
6260,YPL099C,INA17
6261,YPL100W,ATG21
6262,YPL101W,ELP4
6263,YPL102C,YPL102C
6264,YPL103C,FMP30
6265,YPL104W,MSD1
6266,YPL105C,SYH1
6267,YPL106C,SSE1
6268,YPL107W,YPL107W
6269,YPL108W,YPL108W
6270,YPL109C,YPL109C
6271,YPL110C,GDE1
6272,YPL111W,CAR1
6273,YPL112C,PEX25
6274,YPL113C,YPL113C
6275,YPL114W,YPL114W
6276,YPL115C,BEM3
6277,YPL116W,HOS3
6278,YPL117C,IDI1
6279,YPL118W,MRP51
6280,YPL119C,DBP1
6281,YPL119C-A,YPL119C-A
6282,YPL120W,VPS30
6283,YPL121C,MEI5
6284,YPL122C,TFB2
6285,YPL123C,RNY1
6286,YPL124W,SPC29
6287,YPL125W,KAP120
6288,YPL126W,NAN1
6289,YPL127C,HHO1
6290,YPL128C,TBF1
6291,YPL129W,TAF14
6292,YPL130W,SPO19
6293,YPL131W,RPL5
6294,YPL132W,COX11
6295,YPL133C,RDS2
6296,YPL134C,ODC1
6297,YPL135C-A,YPL135C-A
6298,YPL135W,ISU1
6299,YPL136W,YPL136W
6300,YPL137C,GIP3
6301,YPL138C,SPP1
6302,YPL139C,UME1
6303,YPL140C,MKK2
6304,YPL141C,FRK1
6305,YPL142C,YPL142C
6306,YPL143W,RPL33A
